N,N,N,N,N,N,N,WL,W1,W1,W1,WR,N,N,N,N,N,N,N,N
E1,SR,S1,RU,S1,S1,S1,PL,PH,PH,PH,PR,S1,S1,S1,S1,S1,S1,T1,N
N,N,TR,S2,N,N,N,WL,W1,W1,WI,WR,N,N,N,N,N,TR,S2,N
N,N,N,S2,N,T2,S1,PL,PH,PH,PH,PR,S1,S1,S1,S1,T1,N,S2,N
N,N,N,S2,N,S2,TR,WL,W1,WI,W1,WR,N,N,C1,N,S2,N,S2,N
N,N,N,S2,N,S2,TR,WL,W1,WI,W1,WR,N,N,SD,N,S2,N,SU,N
N,N,N,S2,N,T3,S1,PL,PH,PH,PH,PR,S1,S1,T4,N,S2,N,E1,N
N,N,TR,S2,N,N,N,WL,WI,W1,W1,WR,N,N,N,N,S2,N,N,N
E1,SR,S1,RD,S1,S1,S1,PL,PH,PH,PH,PR,S1,S1,S1,S1,T4,N,N,N
N,N,N,N,N,N,N,WL,W1,W1,W1,WR,N,N,N,N,N,N,N,N
